fiscal_year,fiscal_month_no,fiscal_month,fiscal_quarter,month_key,month_label,weeks_in_month,month_start,month_end,is_actual
2024,1,Feb,Q1,FY2024-01,Feb FY2024,4,2024-02-04,2024-03-02,True
2024,2,Mar,Q1,FY2024-02,Mar FY2024,5,2024-03-03,2024-04-06,True
2024,3,Apr,Q1,FY2024-03,Apr FY2024,4,2024-04-07,2024-05-04,True
2024,4,May,Q2,FY2024-04,May FY2024,4,2024-05-05,2024-06-01,True
2024,5,Jun,Q2,FY2024-05,Jun FY2024,5,2024-06-02,2024-07-06,True
2024,6,Jul,Q2,FY2024-06,Jul FY2024,4,2024-07-07,2024-08-03,True
2024,7,Aug,Q3,FY2024-07,Aug FY2024,4,2024-08-04,2024-08-31,True
2024,8,Sep,Q3,FY2024-08,Sep FY2024,5,2024-09-01,2024-10-05,True
2024,9,Oct,Q3,FY2024-09,Oct FY2024,4,2024-10-06,2024-11-02,True
2024,10,Nov,Q4,FY2024-10,Nov FY2024,4,2024-11-03,2024-11-30,True
2024,11,Dec,Q4,FY2024-11,Dec FY2024,5,2024-12-01,2025-01-04,True
2024,12,Jan,Q4,FY2024-12,Jan FY2024,4,2025-01-05,2025-02-01,True
2025,1,Feb,Q1,FY2025-01,Feb FY2025,4,2025-02-02,2025-03-01,True
2025,2,Mar,Q1,FY2025-02,Mar FY2025,5,2025-03-02,2025-04-05,True
2025,3,Apr,Q1,FY2025-03,Apr FY2025,4,2025-04-06,2025-05-03,True
2025,4,May,Q2,FY2025-04,May FY2025,4,2025-05-04,2025-05-31,True
2025,5,Jun,Q2,FY2025-05,Jun FY2025,5,2025-06-01,2025-07-05,True
2025,6,Jul,Q2,FY2025-06,Jul FY2025,4,2025-07-06,2025-08-02,True
2025,7,Aug,Q3,FY2025-07,Aug FY2025,4,2025-08-03,2025-08-30,True
2025,8,Sep,Q3,FY2025-08,Sep FY2025,5,2025-08-31,2025-10-04,True
2025,9,Oct,Q3,FY2025-09,Oct FY2025,4,2025-10-05,2025-11-01,True
2025,10,Nov,Q4,FY2025-10,Nov FY2025,4,2025-11-02,2025-11-29,True
2025,11,Dec,Q4,FY2025-11,Dec FY2025,5,2025-11-30,2026-01-03,True
2025,12,Jan,Q4,FY2025-12,Jan FY2025,4,2026-01-04,2026-01-31,True
2026,1,Feb,Q1,FY2026-01,Feb FY2026,4,2026-02-01,2026-02-28,True
2026,2,Mar,Q1,FY2026-02,Mar FY2026,5,2026-03-01,2026-04-04,True
2026,3,Apr,Q1,FY2026-03,Apr FY2026,4,2026-04-05,2026-05-02,True
2026,4,May,Q2,FY2026-04,May FY2026,4,2026-05-03,2026-05-30,True
2026,5,Jun,Q2,FY2026-05,Jun FY2026,5,2026-05-31,2026-07-04,True
2026,6,Jul,Q2,FY2026-06,Jul FY2026,4,2026-07-05,2026-08-01,True
2026,7,Aug,Q3,FY2026-07,Aug FY2026,4,2026-08-02,2026-08-29,False
2026,8,Sep,Q3,FY2026-08,Sep FY2026,5,2026-08-30,2026-10-03,False
2026,9,Oct,Q3,FY2026-09,Oct FY2026,4,2026-10-04,2026-10-31,False
2026,10,Nov,Q4,FY2026-10,Nov FY2026,4,2026-11-01,2026-11-28,False
2026,11,Dec,Q4,FY2026-11,Dec FY2026,5,2026-11-29,2027-01-02,False
2026,12,Jan,Q4,FY2026-12,Jan FY2026,4,2027-01-03,2027-01-30,False
