month_key,fiscal_year,fiscal_month,fiscal_month_no,fiscal_quarter,channel_key,channel,division,department,actual_sales_dollars,actual_sales_units,actual_aur,actual_markdown_dollars,actual_shrink_dollars,actual_gross_margin_dollars,actual_gross_margin_pct,actual_bom_retail,actual_eom_retail,actual_receipts_retail,actual_receipts_cost
FY2024-01,2024,Feb,1,Q1,ECOM,Ecommerce,Baby,Accessories,17516.19,704.0,24.88,2139.4,70.24,9167.98,0.5234,47705.47,49266.34,21286.7,7613.95
FY2024-02,2024,Mar,2,Q1,ECOM,Ecommerce,Baby,Accessories,32599.54,1343.0,24.27,3738.99,130.73,16327.23,0.5008,49760.69,59654.71,46363.28,14870.26
FY2024-03,2024,Apr,3,Q1,ECOM,Ecommerce,Baby,Accessories,31721.7,1272.0,24.94,4313.81,126.66,15622.89,0.4925,66012.75,73886.91,44036.33,13495.24
FY2024-04,2024,May,4,Q2,ECOM,Ecommerce,Baby,Accessories,26947.23,1051.0,25.64,4584.85,126.89,12830.45,0.4761,79109.42,76941.11,29490.66,11224.54
FY2024-05,2024,Jun,5,Q2,ECOM,Ecommerce,Baby,Accessories,24472.97,998.0,24.52,3634.0,117.39,12034.45,0.4917,78109.66,58741.14,8855.84,2968.19
FY2024-06,2024,Jul,6,Q2,ECOM,Ecommerce,Baby,Accessories,20157.23,823.0,24.49,3030.37,88.32,9978.79,0.495,59006.56,60624.44,24893.8,8709.75
FY2024-07,2024,Aug,7,Q3,ECOM,Ecommerce,Baby,Accessories,21480.83,881.0,24.38,4216.28,76.52,9577.37,0.4459,61606.76,60038.4,24205.27,8219.68
FY2024-08,2024,Sep,8,Q3,ECOM,Ecommerce,Baby,Accessories,27587.78,1143.0,24.14,3360.12,105.59,13766.13,0.499,60455.83,52633.26,23230.92,7242.24
FY2024-09,2024,Oct,9,Q3,ECOM,Ecommerce,Baby,Accessories,27101.71,1128.0,24.03,4679.13,103.93,12310.02,0.4542,54841.81,72483.01,49525.97,17611.72
FY2024-10,2024,Nov,10,Q4,ECOM,Ecommerce,Baby,Accessories,32153.3,1310.0,24.54,5251.45,142.81,15954.38,0.4962,73961.61,108123.26,71709.21,26835.77
FY2024-11,2024,Dec,11,Q4,ECOM,Ecommerce,Baby,Accessories,40974.76,1649.0,24.85,4078.12,170.59,21641.84,0.5282,104106.87,79517.46,20634.06,5972.83
FY2024-12,2024,Jan,12,Q4,ECOM,Ecommerce,Baby,Accessories,15241.96,607.0,25.11,2617.32,73.26,7242.74,0.4752,81270.26,63337.72,0.0,0.0
FY2025-01,2025,Feb,1,Q1,ECOM,Ecommerce,Baby,Accessories,22955.74,922.0,24.9,2327.16,101.87,12020.89,0.5237,63105.26,53535.54,15815.05,5736.06
FY2025-02,2025,Mar,2,Q1,ECOM,Ecommerce,Baby,Accessories,30695.67,1219.0,25.18,5101.14,133.43,14664.82,0.4777,56160.67,66002.76,45772.33,17632.01
