month_key,fiscal_year,fiscal_month,fiscal_month_no,fiscal_quarter,weeks_in_month,channel_key,channel,division,department,plan_version,plan_sales_dollars,plan_sales_units,plan_aur,plan_markdown_dollars,plan_shrink_dollars,plan_gross_margin_pct,plan_gross_margin_dollars,plan_bom_retail,plan_eom_retail,plan_receipts_retail,plan_receipts_cost,plan_weeks_of_supply,plan_turn
FY2024-01,2024,Feb,1,Q1,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,18306.3,733,24.97,2471.6,73.23,0.505,9244.43,50451.38,51547.4,21947.15,7900.97,11.0,0.359
FY2024-02,2024,Mar,2,Q1,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,26222.54,1050,24.97,3444.58,104.89,0.5086,13337.85,51547.4,61930.01,40154.62,14455.66,9.8,0.462
FY2024-03,2024,Apr,3,Q1,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,29191.13,1169,24.97,3394.06,116.76,0.5237,15288.27,61930.01,85629.74,56401.69,20304.61,8.5,0.396
FY2024-04,2024,May,4,Q2,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,26964.69,1080,24.97,3407.26,107.86,0.5136,13850.14,85629.74,75516.66,20366.72,7332.02,12.7,0.335
FY2024-05,2024,Jun,5,Q2,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,24490.87,981,24.97,2990.76,97.96,0.5179,12683.39,75516.66,58627.86,10690.79,3848.69,15.4,0.365
FY2024-06,2024,Jul,6,Q2,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,20780.13,832,24.97,3020.84,83.12,0.4946,10278.44,58627.86,58047.99,23304.22,8389.52,11.3,0.356
FY2024-07,2024,Aug,7,Q3,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,21769.66,872,24.97,2711.31,87.08,0.5155,11221.27,58047.99,59474.15,25994.2,9357.91,10.7,0.37
FY2024-08,2024,Sep,8,Q3,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,23501.34,941,24.97,3079.35,94.01,0.509,11961.51,59474.15,56453.47,23654.01,8515.44,12.7,0.405
FY2024-09,2024,Oct,9,Q3,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,24738.25,991,24.97,2960.41,98.95,0.5203,12872.07,56453.47,74723.8,46067.94,16584.46,9.1,0.377
FY2024-10,2024,Nov,10,Q4,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,35623.08,1427,24.97,4891.36,142.49,0.5027,17907.41,74723.8,100844.94,66778.06,24040.1,8.4,0.406
FY2024-11,2024,Dec,11,Q4,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,38591.67,1546,24.97,5155.02,154.37,0.5064,19543.65,100844.94,85595.09,28651.2,10314.43,13.1,0.414
FY2024-12,2024,Jan,12,Q4,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,15585.1,624,24.97,2194.7,62.34,0.4992,7779.76,85595.09,67752.95,0.0,0.0,22.0,0.203
FY2025-01,2025,Feb,1,Q1,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,20869.19,836,24.97,2609.96,83.48,0.5149,10746.32,67752.95,56655.84,12465.52,4487.59,13.0,0.335
FY2025-02,2025,Mar,2,Q1,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,29893.7,1197,24.97,4360.98,119.57,0.4941,14770.99,56655.84,64779.28,42497.69,15299.17,9.5,0.492
FY2025-03,2025,Apr,3,Q1,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,33277.89,1333,24.97,4252.19,133.11,0.5122,17045.66,64779.28,98057.97,70941.89,25539.08,7.8,0.409
FY2025-04,2025,May,4,Q2,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,30739.75,1231,24.97,4073.72,122.96,0.5075,15599.72,98057.97,89702.06,26580.51,9568.98,12.8,0.327
FY2025-05,2025,Jun,5,Q2,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,27919.59,1118,24.97,3946.4,111.68,0.4987,13922.13,89702.06,65918.99,8194.6,2950.06,16.1,0.359
FY2025-06,2025,Jul,6,Q2,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,23689.35,949,24.97,3166.95,94.76,0.5063,11994.23,65918.99,70850.42,31882.48,11477.69,11.1,0.346
FY2025-07,2025,Aug,7,Q3,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,24817.41,994,24.97,3667.62,99.27,0.4922,12215.53,70850.42,68524.5,26258.38,9453.02,11.4,0.356
FY2025-08,2025,Sep,8,Q3,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,26791.52,1073,24.97,3645.46,107.17,0.5039,13501.11,68524.5,63145.59,25165.24,9059.49,12.8,0.407
