month_key,fiscal_year,fiscal_month,fiscal_month_no,channel_key,channel,division,department,plan_receipts_cost,on_order_cost,open_to_buy_cost,coverage_pct,lead_time_weeks,po_placement_by,po_status
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Baby,Accessories,12859.57,12859.57,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Baby,Accessories,9723.22,9723.22,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Baby,Accessories,21768.0,21188.63,579.37,0.9734,14.0,2026-06-28,Committed
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Baby,Accessories,37085.33,28673.87,8411.46,0.7732,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Baby,Accessories,12806.7,8608.22,4198.48,0.6722,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Baby,Accessories,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Baby,Accessories,7215.52,7215.52,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Baby,Accessories,3423.36,3423.36,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Baby,Accessories,9246.56,7428.04,1818.52,0.8033,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Baby,Accessories,15199.74,11809.38,3390.36,0.7769,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Baby,Accessories,7912.31,6158.9,1753.41,0.7784,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Baby,Accessories,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Baby,Accessories,0.0,0.0,0.0,,14.0,2026-04-26,Past due
FY2026-08,2026,Sep,8,WHSL,Wholesale,Baby,Accessories,8043.08,8043.08,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Baby,Accessories,13220.11,11614.71,1605.4,0.8786,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Baby,Accessories,2020.78,1538.29,482.49,0.7612,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Baby,Accessories,1708.01,1128.11,579.9,0.6605,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Baby,Accessories,5595.32,3210.15,2385.17,0.5737,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Baby,Rompers,29254.28,29254.28,0.0,1.0,15.0,2026-04-19,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Baby,Rompers,20249.33,19275.51,973.82,0.9519,15.0,2026-05-17,Past due
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Baby,Rompers,41070.98,36118.22,4952.76,0.8794,15.0,2026-06-21,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Baby,Rompers,80460.48,64676.82,15783.66,0.8038,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Baby,Rompers,36696.6,26759.64,9936.96,0.7292,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Baby,Rompers,0.0,0.0,0.0,,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Baby,Rompers,11254.46,11254.46,0.0,1.0,15.0,2026-04-19,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Baby,Rompers,9315.79,8930.14,385.65,0.9586,15.0,2026-05-17,Past due
FY2026-09,2026,Oct,9,STORE,Retail Stores,Baby,Rompers,20340.07,19030.83,1309.24,0.9356,15.0,2026-06-21,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Baby,Rompers,36741.49,29763.02,6978.47,0.8101,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Baby,Rompers,12428.45,8171.54,4256.91,0.6575,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Baby,Rompers,0.0,0.0,0.0,,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Baby,Rompers,0.0,0.0,0.0,,15.0,2026-04-19,Past due
FY2026-08,2026,Sep,8,WHSL,Wholesale,Baby,Rompers,15834.41,15834.41,0.0,1.0,15.0,2026-05-17,Committed
