month_key,fiscal_year,fiscal_month,channel_key,channel,style_key,style_name,print_name,division,department,class_name,season,lifecycle,units_sold,sales_dollars,aur,on_hand_units,on_order_units,sell_through_pct,weeks_of_supply
FY2025-09,2025,Oct,ECOM,Ecommerce,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,580,48997.88,84.48,887,526,0.3954,6.1
FY2025-09,2025,Oct,STORE,Retail Stores,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,247,21020.16,85.1,453,122,0.3529,7.3
FY2025-09,2025,Oct,WHSL,Wholesale,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,176,12163.85,69.11,406,272,0.3024,9.2
FY2025-10,2025,Nov,ECOM,Ecommerce,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,313,28113.59,89.82,505,241,0.3826,6.5
FY2025-10,2025,Nov,STORE,Retail Stores,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,115,10034.81,87.26,161,133,0.4167,5.6
FY2025-10,2025,Nov,WHSL,Wholesale,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,169,11680.06,69.11,131,54,0.5633,3.1
FY2025-11,2025,Dec,ECOM,Ecommerce,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,309,29477.38,95.4,477,265,0.3931,7.7
FY2025-11,2025,Dec,STORE,Retail Stores,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,206,18259.46,88.64,313,192,0.3969,7.6
FY2025-11,2025,Dec,WHSL,Wholesale,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,555,38357.6,69.11,720,187,0.4353,6.5
FY2026-09,2026,Oct,ECOM,Ecommerce,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,450,39463.46,87.7,811,673,0.3569,7.2
